IP,Time,URL,Staus
10.131.0.1/5595,29/Nov/2017:15:56:21,GET /home.php HTTP/1.1,200
10.131.0.1/1173,29/Nov/2017:15:56:38,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302
10.129.2.1/7227,29/Nov/2017:15:56:39,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.129.2.1/9815,29/Nov/2017:15:56:44,GET /home.php HTTP/1.1,200
10.131.2.1/1651,29/Nov/2017:16:08:00,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302
10.129.2.1/2223,29/Nov/2017:16:08:00,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.129.2.1/8035,29/Nov/2017:16:08:06,GET /home.php HTTP/1.1,200
10.131.2.1/8831,29/Nov/2017:16:14:46,GET /home.php HTTP/1.1,200
10.131.2.1/3416,29/Nov/2017:16:14:53,GET /contest.php HTTP/1.1,200
10.131.2.1/4695,29/Nov/2017:16:15:02,GET /contestproblem.php?name=Toph%20Contest%202 HTTP/1.1,200
10.131.2.1/6740,29/Nov/2017:16:15:06,GET /home.php HTTP/1.1,200
10.131.2.1/5570,29/Nov/2017:16:15:10,GET /contest.php HTTP/1.1,200
10.131.2.1/7987,29/Nov/2017:16:15:33,GET /contestproblem.php?name=ncpc%202016 HTTP/1.1,200
10.131.2.1/2090,29/Nov/2017:16:15:36,GET /details.php?id=3 HTTP/1.1,200
10.131.2.1/212,29/Nov/2017:16:15:40,GET /contestproblem.php?name=ncpc%202016 HTTP/1.1,200
10.131.2.1/8475,29/Nov/2017:16:15:42,GET /contestsubmission.php?id=4 HTTP/1.1,200
10.131.2.1/9574,29/Nov/2017:16:15:45,GET /home.php HTTP/1.1,200
10.131.2.1/9020,29/Nov/2017:16:15:50,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302
10.131.2.1/8240,29/Nov/2017:16:15:51,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.131.2.1/6602,29/Nov/2017:16:15:56,GET /home.php HTTP/1.1,200
10.131.0.1/3334,29/Nov/2017:16:18:05,GET /home.php HTTP/1.1,200
10.131.0.1/3242,29/Nov/2017:16:18:12,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302
